sample_idx,sample_id,yelp_idx,yelp_business_id,match_confidence,best_name_source,name_similarity,base_name_similarity,sample_name,sample_base_name,yelp_name,best_categories_source,categories_similarity,base_categories_similarity,sample_categories,sample_base_categories,yelp_categories,best_address_source,address_similarity,base_address_similarity,sample_address,sample_base_address,yelp_address
0,08f44f055a9a016e0390f050aa3c93c0,480,g736EKijhJTrQbqoQAo9Tw,0.47000000000000003,2,0.55,0.55,goin' postal jacksonville,goin' postal jacksonville,pet trailer mobile grooming,2,0.0,0.0,"['shipping_center', 'freight_and_cargo_service', 'post_office']","['vehicle_shipping', 'courier_and_delivery_services', 'mailbox_center', 'shipping_center', 'post_office', 'automotive']","['pet_services', 'pet_groomers', 'pet_sitting', 'pets']",1,0.32,0.39,"7643 gate pkwy, jacksonville, FL, 32256","7643 gate pkwy ste 104, jacksonville, FL, 32256","6153 103rd ave n, pinellas park, FL, 33782"
1,08f29a456e42e5830324637954145c50,6605,sEBL8OtHzw2ctY69D1aoaA,0.51,2,0.53,0.53,valley transmission,valley transmission,mission tuxedos,2,0.0,0.0,"['automotive_repair', 'automotive', 'professional_services']","['transmission_repair', 'automotive']","['wedding_planning', 'event_planning_&_services', 'fashion', 'shopping', ""men's_clothing"", 'formal_wear', 'laundry_services', 'dry_cleaning', 'local_services']",2,0.49,0.49,"1158 n 2nd st, el cajon, CA, 92021","1158 n 2nd st, el cajon, CA, 92021","135 w mission st, santa barbara, CA, 93101"
2,08fbcd0030da5323031bcafa8c2fa0dc,1201,CyGxCUdTRGUPKGOgzC6Zug,0.48,2,0.46,0.46,mazda nelspruit,mazda nelspruit,hudsons canada's pub,2,0.0,0.0,"['car_dealer', 'automotive', 'automotive_dealer']","['used_car_dealer', 'automotive']","['chicken_wings', 'canadian_(new)', 'restaurants', 'sports_bars', 'pubs', 'bars', 'burgers', 'nightlife']",1,0.37,0.5,"mazda nelspruit, 49 emnotweni avenue, riverside park, MP, 01201","49 emnotweni avenue, mbombela, 01201","10307 whyte avenue, edmonton, AB, T6E 1Z9"
3,1407374885933937,492,hE1ouPLiGQiAkiOacnZVLw,0.52,1,0.44,0.67,red wing - roswell ga,red wing,nevada towing,2,0.0,0.0,"['shoe_store', 'online_shop', 'retail']","['shoe_store', 'online_shop', 'retail']","['self_storage', 'local_services', 'automotive', 'towing', 'used_car_dealers', 'roadside_assistance', 'car_dealers']",1,0.34,0.37,"875 mansell rd b1, roswell, GA, 30076","875 mansell rd ste b1, roswell, GA, 30076","13855 mount anderson st, reno, NV, 89506"
4,08f3956260b9e14003feca2bf0764d0c,1464,3Pjvw7oOjjfH_YuH2vMD5w,0.45499999999999996,1,0.32,0.5,norauto espa a,norauto,zorba,2,0.0,0.0,"['automotive_repair', 'car_dealer', 'automotive_parts_and_accessories']","['brake_service_and_repair', 'auto_body_shop', 'tire_shop', 'automotive', 'retail']","['restaurants', 'mediterranean']",1,0.18,0.41,"carrer del rei jaume i, 9, finestrat, 03509","calle rei jaume i 9, alicante, ALACANT, 03509","11009 n 56th st, temple terr, FL, 33617"
5,1125899912143279,37412,QG4jlv3gK9MNgUwp4lXmzg,0.525,2,0.63,0.63,newport institute,newport institute,cate summer institute,2,0.0,0.0,"['doctor', 'health_and_medical']","['doctor', 'health_and_medical']","['education', 'middle_schools_&_high_schools', 'summer_camps', 'active_life']",0,0.42,0.41,"43821 shady crk, temecula, CA, 92590","43821 shady creek, temecula, CA, 92590","1960 cate mesa rd, carpinteria, CA, 93013"
6,08f2aa879200ab960398d7c665470cf4,1091,BxR5hjyBnJZrm_nnaCtGQw,0.49,1,0.36,0.55,comfort inn alexandria west - landmark,comfort inn landmark,lunar inn,2,0.0,0.0,['hotel'],['hotel'],"['bars', 'food', 'restaurants', 'beer', 'wine_&_spirits', 'american_(traditional)', 'nightlife']",2,0.43,0.43,"6254 duke st, alexandria, VA, 22312","6254 duke st, alexandria, VA, 22312","3124 richmond st, philadelphia, PA, 19134"
7,08f1969a93ad194003d9ba6cd9e59cbc,1387,v8IbZ6wcvdyGqWpbDKDvfA,0.54,0,0.8,0.39,sushico,sushico sushi & bubble tea ede,yo sushi,2,0.0,0.0,"['sushi_restaurant', 'japanese_restaurant', 'bubble_tea']","['sushi_restaurant', 'restaurant']","['sushi_bars', 'fast_food', 'japanese', 'restaurants']",2,0.28,0.28,"torenstraat 16, ede, 6711 AN","torenstraat 16, ede, 6711 AN","international plz, 2223 n westshore blvd, tampa, FL, 33607"
9,08f3950d1d5a6bae03a09c30bbb17406,19,ROeacJQwBeh05Rqg7F6TCg,0.52,2,0.8,0.8,bp,bp,bap,2,0.0,0.0,"['gas_station', 'energy_company', 'auto_detailing']","['car_wash', 'gas_station', 'automotive']","['korean', 'restaurants']",0,0.24,0.21,"avenida de oliva, alicante, 03780","avenida de oliva s/n, pego, alicante, 03780","1224 south st, philadelphia, PA, 19147"
10,08f48d621e8c9db103fd54168e9fe11c,579,DwkUcTFaFhqcW-RDJ5rnNQ,0.46,0,0.56,0.47,pettigrew and associates,pettigrew & associates,children's dental and orthodontic associates,2,0.0,0.0,"['engineering_services', 'land_surveying', 'commercial_industrial']","['civil_engineers', 'land_surveying', 'engineering_services', 'agricultural_engineering_service', 'structural_engineer', 'real_estate_service', 'b2b_agriculture_and_food', 'business_to_business']","['orthodontists', 'health_&_medical', 'pediatric_dentists', 'dentists']",2,0.36,0.36,"100 e navajo dr, hobbs, NM, 88240","100 e navajo dr, hobbs, NM, 88240","7847 old york rd, elkins park, PA, 19027"
