sample_idx,sample_name,sample_city,sample_state,reason
8,nextcare urgent care gastonia,gastonia,NC,no_match_above_threshold
20,audio network,london,,no_match_above_threshold
30,heartland mortgage - bobbie jo haggard,walla walla,WA,no_match_above_threshold
33,women's health boutique,plano,TX,no_match_above_threshold
41,signwriter,kalamazoo,MI,no_match_above_threshold
45,viking sewing gallery,spring,TX,no_match_above_threshold
51,solar guard utah,west valley city,UT,no_match_above_threshold
62,kincaid at legacy,plano,TX,no_match_above_threshold
72,service king collision repair south ft worth,fort worth,TX,no_match_above_threshold
73,spenga prosper,prosper,TX,no_match_above_threshold
75,ecuadorian chocolate factory,cedar park,TX,no_match_above_threshold
77,bitezz,,,no_match_above_threshold
81,bp,clayton,NC,no_match_above_threshold
103,bitcoin depot,el paso,TX,no_match_above_threshold
108,econo lodge,mineral wells,TX,no_match_above_threshold
117,larry h miller toyota scion boulder,boulder,CO,no_match_above_threshold
120,sir walter chevrolet company,raleigh,NC,no_match_above_threshold
124,dan stiebel,traverse city,MI,no_match_above_threshold
130,place landscape architecture,spokane,WA,no_match_above_threshold
138,dancenter 58195 5 personen ferienhaus in einem ferienpark in glesborg,glesborg,,no_match_above_threshold
141,,富岡市,,no_match_above_threshold
156,polansky heating and air,waco,TX,no_match_above_threshold
159,cumberland farms,east bridgewater,MA,no_match_above_threshold
170,mod pizza,denver,CO,no_match_above_threshold
176,satellite tv and sound,spring,TX,no_match_above_threshold
190,frank webb home,methuen,MA,no_match_above_threshold
192,mission x escape,durham,NC,no_match_above_threshold
199,steve & lori robinson realtors,american fork,UT,no_match_above_threshold
201,dancenter 39879 6 personen ferienhaus in einem ferienpark in hanstholm,hanstholm,,no_match_above_threshold
204,walmart supercenter,hickory,NC,no_match_above_threshold
208,southgate ford,southgate,MI,no_match_above_threshold
213,looking glass beachfront inn,grand haven,MI,no_match_above_threshold
215,walmart supercenter,plano,TX,no_match_above_threshold
220,5 11 tactical,charlotte,NC,no_match_above_threshold
221,discount tire,katy,TX,no_match_above_threshold
224,link & associates,dallas,TX,no_match_above_threshold
234,olive garden,midland,MI,no_match_above_threshold
239,cpr cell phone repair lubbock,lubbock,TX,no_match_above_threshold
241,body & brain yoga tai chi,missouri city,TX,no_match_above_threshold
244,storquest self storage,richmond,TX,no_match_above_threshold
265,castle at princeville,princeville,HI,no_match_above_threshold
267,nordstrom downtown seattle,seattle,WA,no_match_above_threshold
274,enterprise rent-a-car,marysville,WA,no_match_above_threshold
296,benchley's amish furniture & gifts,clare,MI,no_match_above_threshold
298,samantha grundemann pa-c,marshall,MI,no_match_above_threshold
