sample_idx,names,addresses,categories,websites,phones,emails,socials,brand
0,"{'primary': ""Goin' Postal Jacksonville""}","[{'freeform': '7643 Gate Pkwy Ste 104', 'locality': 'Jacksonville', 'region': 'FL', 'country': 'US', 'postcode': '32256'}]","{'primary': 'shipping_center', 'alternate': ['freight_and_cargo_service', 'post_office']}",['http://www.goinpostaljacksonville.com/'],"[""+19049989600""]",,['https://www.facebook.com/463273470392736'],{'names': {}}
1,{'primary': 'Valley Transmission'},"[{'freeform': '1158 N 2nd St', 'locality': 'El Cajon', 'region': 'CA', 'country': 'US', 'postcode': '92021'}]","{'primary': 'automotive_repair', 'alternate': ['automotive', 'professional_services']}",['http://valleytransca.com/'],"[""+16194474353""]",,['https://www.facebook.com/107150256087765'],{'names': {}}
2,{'primary': 'Mazda Nelspruit'},"[{'freeform': '49 Emnotweni Avenue', 'locality': 'Mbombela', 'region': '', 'country': 'ZA', 'postcode': '1201'}]","{'primary': 'car_dealer', 'alternate': ['automotive', 'automotive_dealer']}",['http://bit.ly/NelspruitMazda'],"[""+27137573800""]",,['https://www.facebook.com/113070635372645'],{'names': {}}
3,{'primary': 'Red Wing'},"[{'freeform': '875 Mansell Rd B1', 'locality': 'Roswell', 'region': 'GA', 'country': 'US', 'postcode': '30076'}]","{'primary': 'shoe_store', 'alternate': ['online_shop', 'retail']}",['https://stores.redwingshoes.com/roswell-ga'],"[""7705584400""]",,,{'names': {}}
4,{'primary': 'Norauto España'},"[{'freeform': 'Calle Rei Jaume I 9', 'locality': 'Alicante', 'region': 'Alacant', 'country': 'ES', 'postcode': '03509'}]","{'primary': 'automotive_repair', 'alternate': ['car_dealer', 'automotive_parts_and_accessories']}",['https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9'],"[""+34966803254""]",,['https://www.facebook.com/295967644448975'],{'names': {}}
5,{'primary': 'Newport Institute'},"[{'freeform': '43821 Shady Crk', 'locality': 'Temecula', 'region': 'CA', 'country': 'US', 'postcode': '92590'}]","{'primary': 'doctor', 'alternate': ['health_and_medical']}",['http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek'],"[""8445450602""]",,,{'names': {}}
6,{'primary': 'Comfort Inn Landmark'},"[{'freeform': '6254 Duke St', 'locality': 'Alexandria', 'postcode': '22312', 'region': 'VA', 'country': 'US'}]",{'primary': 'hotel'},['https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116'],"[""7036423422""]",,,{'names': {}}
7,{'primary': 'SushiCo'},"[{'freeform': 'Torenstraat 16', 'locality': 'Ede', 'postcode': '6711 AN', 'country': 'NL'}]","{'primary': 'sushi_restaurant', 'alternate': ['japanese_restaurant', 'bubble_tea']}",['http://www.sushico.nl/'],"[""+31318255062""]",,['https://www.facebook.com/110185694447961'],{'names': {}}
8,{'primary': 'NextCare Urgent Care Gastonia'},"[{'freeform': '3680 Robinwood Rd', 'locality': 'Gastonia', 'region': 'NC', 'country': 'US', 'postcode': '28054'}]","{'primary': 'doctor', 'alternate': ['medical_center', 'urgent_care_clinic', 'health_and_medical']}",['https://nextcare.com/locations/nc/gastonia/'],"[""7042154057""]",,,{'names': {}}
9,{'primary': 'BP'},"[{'freeform': 'Avenida de Oliva', 'locality': 'Alicante', 'postcode': '03780', 'country': 'ES'}]","{'primary': 'gas_station', 'alternate': ['energy_company', 'auto_detailing']}",['https://www.bp.com/es_es/spain/home.html'],"[""+34966400784""]",,['https://www.facebook.com/2023469851040046'],{'names': {}}
