sample_idx,id,base_id,name_primary,base_name_primary,names,base_names,categories_list,base_categories_list,categories,base_categories,address_string,base_address_string,addresses,base_addresses,address_street,address_city,address_state,address_postcode,base_address_street,base_address_city,base_address_state,base_address_postcode,websites,base_websites,phones,base_phones,emails,base_emails,socials,base_socials,brand,base_brand,quality_score_names_base,quality_score_names,quality_diff_names,label_names,quality_score_addresses_base,quality_score_addresses,quality_diff_addresses,label_addresses,quality_score_categories_base,quality_score_categories,quality_diff_categories,label_categories,quality_score_websites_base,quality_score_websites,quality_diff_websites,label_websites,quality_score_phones_base,quality_score_phones,quality_diff_phones,label_phones,quality_score_emails_base,quality_score_emails,quality_diff_emails,label_emails,quality_score_socials_base,quality_score_socials,quality_diff_socials,label_socials,quality_score_brand_base,quality_score_brand,quality_diff_brand,label_brand,label_overall,quality_score_a,quality_score_b,quality_difference
0,08f44f055a9a016e0390f050aa3c93c0,1688849865669487,Goin' Postal Jacksonville,Goin' Postal Jacksonville,"{'primary': ""Goin' Postal Jacksonville""}","{'primary': ""Goin' Postal Jacksonville""}","['shipping_center', 'freight_and_cargo_service', 'post_office']","['vehicle_shipping', 'courier_and_delivery_services', 'mailbox_center', 'shipping_center', 'post_office', 'automotive']","{'primary': 'shipping_center', 'alternate': ['freight_and_cargo_service', 'post_office']}","{'primary': 'vehicle_shipping', 'alternate': ['courier_and_delivery_services', 'mailbox_center', 'shipping_center', 'post_office', 'automotive']}","7643 Gate Pkwy, Jacksonville, FL, 32256-2892","7643 Gate Pkwy Ste 104, Jacksonville, FL, 32256","[{'freeform': '7643 Gate Pkwy', 'locality': 'Jacksonville', 'postcode': '32256-2892', 'region': 'FL', 'country': 'US'}]","[{'freeform': '7643 Gate Pkwy Ste 104', 'locality': 'Jacksonville', 'region': 'FL', 'country': 'US', 'postcode': '32256'}]",7643 Gate Pkwy,Jacksonville,FL,32256-2892,7643 Gate Pkwy Ste 104,Jacksonville,FL,32256,['http://www.goinpostaljacksonville.com/'],['https://www.goinpostaljacksonville.com/'],"[""+19049989600""]","[""9049989600""]",,,['https://www.facebook.com/463273470392736'],,,{'names': {}},0.8,0.8,0.0,2.0,1.0,0.7500000000000001,0.2499999999999999,1.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,1.0,1.0,0.44000000000000006,0.4,0.040000000000000036
1,08f29a456e42e5830324637954145c50,1125899907111860,Valley Transmission,Valley Transmission,{'primary': 'Valley Transmission'},{'primary': 'Valley Transmission'},"['automotive_repair', 'automotive', 'professional_services']","['transmission_repair', 'automotive']","{'primary': 'automotive_repair', 'alternate': ['automotive', 'professional_services']}","{'primary': 'transmission_repair', 'alternate': ['automotive']}","1158 N 2nd St, El Cajon, CA, 92021-5023","1158 N 2nd St, El Cajon, CA, 92021","[{'freeform': '1158 N 2nd St', 'locality': 'El Cajon', 'postcode': '92021-5023', 'region': 'CA', 'country': 'US'}]","[{'freeform': '1158 N 2nd St', 'locality': 'El Cajon', 'region': 'CA', 'country': 'US', 'postcode': '92021'}]",1158 N 2nd St,El Cajon,CA,92021-5023,1158 N 2nd St,El Cajon,CA,92021,['http://valleytransca.com/'],['http://valleytransca.com/'],"[""+16194474353""]","[""6194474353""]",,,['https://www.facebook.com/107150256087765'],,,{'names': {}},0.8,0.8,0.0,2.0,1.0,0.8,0.19999999999999996,1.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,1.0,1.0,0.44000000000000006,0.41000000000000003,0.030000000000000027
2,08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,Mazda Nelspruit,Mazda Nelspruit,{'primary': 'Mazda Nelspruit'},{'primary': 'Mazda Nelspruit'},"['car_dealer', 'automotive', 'automotive_dealer']","['used_car_dealer', 'automotive']","{'primary': 'car_dealer', 'alternate': ['automotive', 'automotive_dealer']}","{'primary': 'used_car_dealer', 'alternate': ['automotive']}","Mazda Nelspruit, 49 Emnotweni Avenue, Riverside Park, MP, 1201","49 Emnotweni Avenue, Mbombela, 1201","[{'freeform': 'Mazda Nelspruit, 49 Emnotweni Avenue', 'locality': 'Riverside Park', 'postcode': '1201', 'region': 'MP', 'country': 'ZA'}]","[{'freeform': '49 Emnotweni Avenue', 'locality': 'Mbombela', 'region': '', 'country': 'ZA', 'postcode': '1201'}]","Mazda Nelspruit, 49 Emnotweni Avenue",Riverside Park,MP,1201,49 Emnotweni Avenue,Mbombela,,1201,['http://bit.ly/NelspruitMazda'],['https://nelspruitmazda.co.za/'],"[""+27137573800""]","[""0137573800""]",,,['https://www.facebook.com/113070635372645'],,,{'names': {}},0.8,0.8,0.0,2.0,0.75,0.45000000000000007,0.29999999999999993,1.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,1.0,1.0,0.39,0.34,0.04999999999999999
3,1407374885933937,844424932146366,"Red Wing - Roswell, GA",Red Wing,"{'primary': 'Red Wing - Roswell, GA'}",{'primary': 'Red Wing'},"['shoe_store', 'online_shop', 'retail']","['shoe_store', 'online_shop', 'retail']","{'primary': 'shoe_store', 'alternate': ['online_shop', 'retail']}","{'primary': 'shoe_store', 'alternate': ['online_shop', 'retail']}","875 Mansell Rd B1, Roswell, GA, 30076","875 Mansell Rd Ste B1, Roswell, GA, 30076","[{'freeform': '875 Mansell Rd B1', 'locality': 'Roswell', 'region': 'GA', 'country': 'US', 'postcode': '30076'}]","[{'freeform': '875 Mansell Rd Ste B1', 'locality': 'Roswell', 'region': 'GA', 'country': 'US', 'postcode': '30076'}]",875 Mansell Rd B1,Roswell,GA,30076,875 Mansell Rd Ste B1,Roswell,GA,30076,['https://stores.redwingshoes.com/roswell-ga'],['http://stores.redwing.com/roswell-ga'],"[""7705584400""]","[""7705584400""]",,,,,{'names': {}},{'names': {}},0.8,0.8,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.8,0.0,0.8,1.0,0.0,0.44000000000000006,0.45,-0.009999999999999953
4,08f3956260b9e14003feca2bf0764d0c,1407374887472291,Norauto España,Norauto,{'primary': 'Norauto España'},{'primary': 'Norauto'},"['automotive_repair', 'car_dealer', 'automotive_parts_and_accessories']","['brake_service_and_repair', 'auto_body_shop', 'tire_shop', 'automotive', 'retail']","{'primary': 'automotive_repair', 'alternate': ['car_dealer', 'automotive_parts_and_accessories']}","{'primary': 'brake_service_and_repair', 'alternate': ['auto_body_shop', 'tire_shop', 'automotive', 'retail']}","Carrer del Rei Jaume I, 9, Finestrat, 03509","Calle Rei Jaume I 9, Alicante, Alacant, 03509","[{'freeform': 'Carrer del Rei Jaume I, 9', 'locality': 'Finestrat', 'postcode': '03509', 'country': 'ES'}]","[{'freeform': 'Calle Rei Jaume I 9', 'locality': 'Alicante', 'region': 'Alacant', 'country': 'ES', 'postcode': '03509'}]","Carrer del Rei Jaume I, 9",Finestrat,,03509,Calle Rei Jaume I 9,Alicante,Alacant,03509,['https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9'],['http://centro.norauto.es/centre/alicante-finestrat-benidorm/358'],"[""+34966803254""]","[""966803254""]",,,['https://www.facebook.com/295967644448975'],,{'names': {'primary': 'Norauto España'}},{'names': {}},0.8,0.8,0.0,2.0,0.5,0.39999999999999997,0.10000000000000003,1.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,1.0,1.0,0.3400000000000001,0.33,0.010000000000000064
5,1125899912143279,1407374890190043,Newport Institute,Newport Institute,{'primary': 'Newport Institute'},{'primary': 'Newport Institute'},"['doctor', 'health_and_medical']","['doctor', 'health_and_medical']","{'primary': 'doctor', 'alternate': ['health_and_medical']}","{'primary': 'doctor', 'alternate': ['health_and_medical']}","43821 Shady Crk, Temecula, CA, 92590","43821 Shady Creek, Temecula, CA, 92590","[{'freeform': '43821 Shady Crk', 'locality': 'Temecula', 'region': 'CA', 'country': 'US', 'postcode': '92590'}]","[{'freeform': '43821 Shady Creek', 'locality': 'Temecula', 'region': 'CA', 'country': 'US', 'postcode': '92590'}]",43821 Shady Crk,Temecula,CA,92590,43821 Shady Creek,Temecula,CA,92590,['http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek'],['https://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek'],"[""8445450602""]","[""8445450602""]",,,,,{'names': {}},{'names': {}},0.8,0.8,0.0,2.0,0.9500000000000001,0.9500000000000001,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.8,0.0,0.8,1.0,0.0,0.43000000000000005,0.44,-0.009999999999999953
6,08f2aa879200ab960398d7c665470cf4,562949954974969,Comfort Inn Alexandria West - Landmark,Comfort Inn Landmark,{'primary': 'Comfort Inn Alexandria West - Landmark'},{'primary': 'Comfort Inn Landmark'},['hotel'],['hotel'],{'primary': 'hotel'},{'primary': 'hotel'},"6254 Duke St, Alexandria, VA, 22312","6254 Duke St, Alexandria, VA, 22312","[{'freeform': '6254 Duke St', 'locality': 'Alexandria', 'postcode': '22312', 'region': 'VA', 'country': 'US'}]","[{'freeform': '6254 Duke St', 'locality': 'Alexandria', 'region': 'VA', 'country': 'US', 'postcode': '22312'}]",6254 Duke St,Alexandria,VA,22312,6254 Duke St,Alexandria,VA,22312,['https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116'],[''],"[""7036423422""]","[""7036423422""]",,,,,,{'names': {}},0.8,0.8,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.8,0.0,0.8,1.0,0.0,0.44000000000000006,0.45,-0.009999999999999953
7,08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,SushiCo,SushiCo | Sushi & Bubble Tea Ede,{'primary': 'SushiCo'},{'primary': 'SushiCo | Sushi & Bubble Tea Ede'},"['sushi_restaurant', 'japanese_restaurant', 'bubble_tea']","['sushi_restaurant', 'restaurant']","{'primary': 'sushi_restaurant', 'alternate': ['japanese_restaurant', 'bubble_tea']}","{'primary': 'sushi_restaurant', 'alternate': ['restaurant']}","Torenstraat 16, Ede, 6711 AN","Torenstraat 16, Ede, 6711 AN","[{'freeform': 'Torenstraat 16', 'locality': 'Ede', 'postcode': '6711 AN', 'country': 'NL'}]","[{'freeform': 'Torenstraat 16', 'locality': 'Ede', 'region': '', 'country': 'NL', 'postcode': '6711 AN'}]",Torenstraat 16,Ede,,6711 AN,Torenstraat 16,Ede,,6711 AN,['http://www.sushico.nl/'],['https://www.sushico.nl/'],"[""+31318255062""]","[""0318255062""]",,,['https://www.facebook.com/110185694447961'],,{'names': {'primary': 'SushiCo'}},{'names': {}},0.8,0.8,0.0,2.0,0.35000000000000003,0.35000000000000003,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,1.0,0.0,0.31000000000000005,0.32,-0.009999999999999953
8,1407374891126949,562949966191554,NextCare Urgent Care Gastonia,NextCare Urgent Care Gastonia,{'primary': 'NextCare Urgent Care Gastonia'},{'primary': 'NextCare Urgent Care Gastonia'},"['doctor', 'medical_center', 'urgent_care_clinic', 'health_and_medical']","['doctor', 'medical_center', 'urgent_care_clinic', 'health_and_medical']","{'primary': 'doctor', 'alternate': ['medical_center', 'urgent_care_clinic', 'health_and_medical']}","{'primary': 'doctor', 'alternate': ['medical_center', 'urgent_care_clinic', 'health_and_medical']}","3680 Robinwood Rd, Gastonia, NC, 28054","3680 Robinwood Rd, Gastonia, NC, 28054","[{'freeform': '3680 Robinwood Rd', 'locality': 'Gastonia', 'region': 'NC', 'country': 'US', 'postcode': '28054'}]","[{'freeform': '3680 Robinwood Rd', 'locality': 'Gastonia', 'region': 'NC', 'country': 'US', 'postcode': '28054'}]",3680 Robinwood Rd,Gastonia,NC,28054,3680 Robinwood Rd,Gastonia,NC,28054,['https://nextcare.com/locations/nc/gastonia/'],['https://nextcare.com/locations/nc/gastonia/'],"[""7042154057""]","[""7042154057""]",,,,,{'names': {}},{'names': {}},0.8,0.8,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.8,0.0,0.8,1.0,0.0,0.44000000000000006,0.45,-0.009999999999999953
9,08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,BP,BP,{'primary': 'BP'},{'primary': 'BP'},"['gas_station', 'energy_company', 'auto_detailing']","['car_wash', 'gas_station', 'automotive']","{'primary': 'gas_station', 'alternate': ['energy_company', 'auto_detailing']}","{'primary': 'car_wash', 'alternate': ['gas_station', 'automotive']}","Avenida de Oliva, Alicante, 03780","Avenida de Oliva S/n, Pego, Alicante, 03780","[{'freeform': 'Avenida de Oliva', 'locality': 'Alicante', 'postcode': '03780', 'country': 'ES'}]","[{'freeform': 'Avenida de Oliva S/n, Pego', 'locality': 'Alicante', 'region': '', 'country': 'ES', 'postcode': '03780'}]",Avenida de Oliva,Alicante,,03780,"Avenida de Oliva S/n, Pego",Alicante,,03780,['https://www.bp.com/es_es/spain/home.html'],['https://www.bp.com/es_es/spain/home/productos-y-servicios/para-su-vehiculo/estaciones-de-servicio-bp.html'],"[""+34966400784""]","[""966400784""]",,,['https://www.facebook.com/2023469851040046'],,{'names': {'primary': 'bp'}},{'names': {}},0.6,0.6,0.0,2.0,0.39999999999999997,0.39999999999999997,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,1.0,0.0,0.27,0.27999999999999997,-0.009999999999999953
